kind,period_bars,slow_velocity_ratio,slow_phase,drift_velocity_ratio,trades,win_rate,longest_loss,capture
wave,12,0.5,3.1415926535897931,0,767,0.26988265971316816,24,0.068990576994229627
wave,12,2,0,0,159,0.19496855345911951,8,0.9002257124080979
wave,12,2,1.5707963267948966,0,159,0.20125786163522014,8,0.90022571240809812
wave,12,2,3.1415926535897931,0,159,0.19496855345911951,8,0.90022571240809846
drift,12,0,0,-0.5,0,,0,0.69638313438265742
drift,12,0,0,0,1279,0,1279,-0.49999999999990596
drift,12,0,0,0.5,0,,0,0.69638313438265442
wave,24,0,0,0,639,1,0,0.25881904510259901
wave,24,0,1.5707963267948966,0,639,1,0,0.25881904510259901
wave,24,0,3.1415926535897931,0,639,1,0,0.25881904510259901
wave,24,0.5,0,0,639,0.62441314553990612,1,0.37765690698040211
wave,24,0.5,1.5707963267948966,0,639,0.62441314553990612,1,0.37765690698039783
wave,24,0.5,3.1415926535897931,0,639,0.62441314553990612,1,0.37765690698039794
wave,24,2,0,0,143,0.66433566433566438,1,0.92946177724087975
wave,24,2,1.5707963267948966,0,143,0.66433566433566438,1,0.92946177724088364
wave,24,2,3.1415926535897931,0,143,0.66433566433566438,1,0.92946177724088264
drift,24,0,0,-0.5,639,0.49921752738654146,1,0.38197655217115739
drift,24,0,0,0,639,1,0,0.25881904510259901
drift,24,0,0,0.5,639,0.49921752738654146,1,0.38197655217116155
wave,48,0,0,0,319,1,0,0.70710678118658254
wave,48,0,1.5707963267948966,0,319,1,0,0.70710678118658254
wave,48,0,3.1415926535897931,0,319,1,0,0.70710678118658254
wave,48,0.5,0,0,319,1,0,0.75477783985044622
wave,48,0.5,1.5707963267948966,0,319,1,0,0.75477783985045133
wave,48,0.5,3.1415926535897931,0,318,1,0,0.75477783985045199
wave,48,2,0,0,79,0.79746835443037978,1,0.96752789105494441
wave,48,2,1.5707963267948966,0,79,0.79746835443037978,1,0.9675278910549433
wave,48,2,3.1415926535897931,0,79,0.79746835443037978,1,0.96752789105494019
drift,48,0,0,-0.5,318,1,0,0.77509541377214397
drift,48,0,0,0,319,1,0,0.70710678118658254
drift,48,0,0,0.5,319,1,0,0.77509541377213276
wave,96,0,0,0,159,1,0,0.92387953251127508
wave,96,0,1.5707963267948966,0,159,1,0,0.92387953251127508
wave,96,0,3.1415926535897931,0,159,1,0,0.92387953251127508
wave,96,0.5,0,0,159,1,0,0.93135418930104297
wave,96,0.5,1.5707963267948966,0,159,1,0,0.93135418930099045
wave,96,0.5,3.1415926535897931,0,159,1,0,0.93135418930103586
wave,96,2,0,0,47,1,0,0.98885535346118258
wave,96,2,1.5707963267948966,0,47,1,0,0.98885535346119058
wave,96,2,3.1415926535897931,0,47,1,0,0.98885535346117892
drift,96,0,0,-0.5,159,1,0,0.93247586378789404
drift,96,0,0,0,159,1,0,0.92387953251127508
drift,96,0,0,0.5,159,1,0,0.93247586378789216
wave,240,0,0,0,63,1,0,0.98325490756414791
wave,240,0,1.5707963267948966,0,63,1,0,0.98325490756414791
wave,240,0,3.1415926535897931,0,63,1,0,0.98325490756414791
wave,240,0.5,0,0,63,1,0,0.98404297064623447
wave,240,0.5,1.5707963267948966,0,63,1,0,0.98404297064621205
wave,240,0.5,3.1415926535897931,0,63,1,0,0.98404297064622348
wave,240,2,0,0,15,1,0,0.99739334713649175
wave,240,2,1.5707963267948966,0,15,1,0,0.99739334713647787
wave,240,2,3.1415926535897931,0,15,1,0,0.99739334713648231
drift,240,0,0,-0.5,63,1,0,0.9870788366101505
drift,240,0,0,0,63,1,0,0.98325490756414791
drift,240,0,0,0.5,63,1,0,0.98707883661014539
