kind,period_bars,slow_velocity_ratio,slow_phase,drift_velocity_ratio,capture,pnl_log_per_1000bars,flips_per_1000bars,long_share
wave,48,0.0,0.0,0.0,0.7071067811865825,0.11785113019776444,41.672092720406305,0.5
wave,48,0.0,1.5707963267948966,0.0,0.7071067811865825,0.11785113019776444,41.672092720406305,0.5
wave,48,0.0,3.141592653589793,0.0,0.7071067811865825,0.11785113019776444,41.672092720406305,0.5
wave,48,0.5,0.0,0.0,0.7547778398504462,0.13370942865936156,41.672092720406305,0.5010416666666667
wave,48,0.5,1.5707963267948966,0.0,0.7547778398504513,0.1337094286593624,41.672092720406305,0.5010416666666667
wave,48,0.5,3.141592653589793,0.0,0.754777839850452,0.1337094286593622,41.54186743065504,0.5010416666666667
wave,48,2.0,0.0,0.0,0.9675278910549444,0.3429754185603475,10.418023180101576,0.509375
wave,48,2.0,1.5707963267948966,0.0,0.9675278910549433,0.3429754185603476,10.418023180101576,0.509375
wave,48,2.0,3.141592653589793,0.0,0.9675278910549402,0.3429754185603462,10.418023180101576,0.509375
drift,48,0.0,0.0,-0.5,0.775095413772144,0.1456953039158269,41.54186743065504,0.3333333333333333
drift,48,0.0,0.0,0.0,0.7071067811865825,0.11785113019776444,41.672092720406305,0.5
drift,48,0.0,0.0,0.5,0.7750954137721328,0.1456953039158253,41.672092720406305,0.6666666666666666
wave,96,0.0,0.0,0.0,0.9238795325112751,0.07698996104260672,20.836046360203152,0.5
wave,96,0.0,1.5707963267948966,0.0,0.9238795325112751,0.07698996104260672,20.836046360203152,0.5
wave,96,0.0,3.141592653589793,0.0,0.9238795325112751,0.07698996104260672,20.836046360203152,0.5
wave,96,0.5,0.0,0.0,0.931354189301043,0.08253531186858401,20.836046360203152,0.5
wave,96,0.5,1.5707963267948966,0.0,0.9313541893009905,0.08253531186857938,20.836046360203152,0.5
wave,96,0.5,3.141592653589793,0.0,0.9313541893010359,0.08253531186858322,20.836046360203152,0.5
wave,96,2.0,0.0,0.0,0.9888553534611826,0.17543637553562602,6.250813908060945,0.5177083333333333
wave,96,2.0,1.5707963267948966,0.0,0.9888553534611906,0.17543637553562783,6.250813908060945,0.4822916666666667
wave,96,2.0,3.141592653589793,0.0,0.9888553534611789,0.1754363755356255,6.250813908060945,0.5177083333333333
drift,96,0.0,0.0,-0.5,0.932475863787894,0.08763911639444198,20.836046360203152,0.3229166666666667
drift,96,0.0,0.0,0.0,0.9238795325112751,0.07698996104260672,20.836046360203152,0.5
drift,96,0.0,0.0,0.5,0.9324758637878922,0.08763911639444211,20.836046360203152,0.6770833333333334
wave,240,0.0,0.0,0.0,0.9832549075641479,0.03277516358547179,8.334418544081261,0.5
wave,240,0.0,1.5707963267948966,0.0,0.9832549075641479,0.03277516358547179,8.334418544081261,0.5
wave,240,0.0,3.141592653589793,0.0,0.9832549075641479,0.03277516358547179,8.334418544081261,0.5
wave,240,0.5,0.0,0.0,0.9840429706462345,0.03488462905082088,8.334418544081261,0.5
wave,240,0.5,1.5707963267948966,0.0,0.984042970646212,0.034884629050820105,8.334418544081261,0.5
wave,240,0.5,3.141592653589793,0.0,0.9840429706462235,0.03488462905082051,8.334418544081261,0.5
wave,240,2.0,0.0,0.0,0.9973933471364917,0.07142527338959656,2.0836046360203153,0.58125
wave,240,2.0,1.5707963267948966,0.0,0.9973933471364779,0.07142527338959558,2.0836046360203153,0.58125
wave,240,2.0,3.141592653589793,0.0,0.9973933471364823,0.0714252733895959,2.0836046360203153,0.58125
drift,240,0.0,0.0,-0.5,0.9870788366101505,0.0371083994392138,8.334418544081261,0.325
drift,240,0.0,0.0,0.0,0.9832549075641479,0.03277516358547179,8.334418544081261,0.5
drift,240,0.0,0.0,0.5,0.9870788366101454,0.037108399439213395,8.334418544081261,0.675
