rank,leg,table,cell,bars,pnl_log,positive_log,negative_log,sample_note
2,recovery,short_long_eff,00,0,0.0,0.0,0.0,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
2,recovery,short_long_eff,01,0,0.0,0.0,0.0,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
2,recovery,short_long_eff,10,0,0.0,0.0,0.0,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
2,recovery,short_long_eff,11,44,0.2853086095080975,0.34335876398684706,-0.05805015447874956,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
3,decline,fast_slow,00,0,0.0,0.0,0.0,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
3,decline,fast_slow,01,523,-0.0540164858901855,0.28185517848467617,-0.3358716643748617,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
3,decline,fast_slow,10,480,0.03246952357984015,0.33843072478597025,-0.3059612012061302,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
3,decline,fast_slow,11,528,-0.10750095399743814,0.2889716704783196,-0.3964726244757577,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
3,decline,short_long_eff,00,240,-0.030089559189343203,0.11216621781254457,-0.14225577700188777,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
3,decline,short_long_eff,01,578,-0.09192584813860949,0.31850877048291626,-0.41043461862152575,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
3,decline,short_long_eff,10,336,0.019013149766577656,0.20670747764070668,-0.187694327874129,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
3,decline,short_long_eff,11,377,-0.02604565874640844,0.2718751078127986,-0.297920766559207,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
3,recovery,fast_slow,00,240,0.02219805675229629,0.15179165326422994,-0.12959359651193364,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
3,recovery,fast_slow,01,673,0.11945892030458223,0.44440210063038577,-0.32494318032580355,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
3,recovery,fast_slow,10,144,-0.016085096693646966,0.08598024420557607,-0.10206534089922305,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
3,recovery,fast_slow,11,96,0.008952983491380394,0.07091174829026883,-0.06195876479888844,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
3,recovery,short_long_eff,00,336,-0.028878408488013124,0.19905505608197444,-0.2279334645699876,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
3,recovery,short_long_eff,01,334,0.044957902498508256,0.21149237874314783,-0.16653447624463957,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
3,recovery,short_long_eff,10,192,0.024333332770868642,0.12296762967866737,-0.09863429690779872,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
3,recovery,short_long_eff,11,291,0.09411203707324818,0.21957068188667095,-0.12545864481342278,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
4,decline,fast_slow,00,192,0.019331261152063208,0.11780115585059503,-0.09846989469853182,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
4,decline,fast_slow,01,0,0.0,0.0,0.0,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
4,decline,fast_slow,10,409,-0.11270268586293683,0.15724768098428393,-0.2699503668472208,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
4,decline,fast_slow,11,139,-0.03305240471484748,0.05607550822814003,-0.08912791294298751,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
4,decline,short_long_eff,00,475,-0.07448956445568405,0.2156119982846289,-0.29010156274031296,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
4,decline,short_long_eff,01,48,-0.023480447890139457,0.012468524819392956,-0.035948972709532415,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
4,decline,short_long_eff,10,169,-0.018941773695048354,0.09086243249649784,-0.10980420619154618,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
4,decline,short_long_eff,11,48,-0.00951204338484924,0.0121813894624993,-0.02169343284734854,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
4,recovery,fast_slow,00,288,0.042844910115256866,0.2512754636242921,-0.20843055350903522,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
4,recovery,fast_slow,01,156,0.05927143692557336,0.19668336450407853,-0.1374119275785052,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
4,recovery,fast_slow,10,119,0.011514109574224092,0.0836922223532971,-0.07217811277907299,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
4,recovery,fast_slow,11,192,0.014167721982580163,0.14680687992393274,-0.1326391579413526,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
4,recovery,short_long_eff,00,144,0.0198012040761716,0.10646635647105204,-0.08666515239488043,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
4,recovery,short_long_eff,01,252,0.014352038730960583,0.2388426634986306,-0.22449062476766998,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
4,recovery,short_long_eff,10,119,0.03492060672323701,0.10709462461744643,-0.07217401789420941,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
4,recovery,short_long_eff,11,240,0.058724329067265255,0.22605428581847142,-0.16732995675120615,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
5,decline,fast_slow,00,192,-0.041258480977815856,0.1603565134377023,-0.2016149944155182,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
5,decline,fast_slow,01,372,-0.09223419283852523,0.3530397646367758,-0.44527395747530096,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
5,decline,fast_slow,10,192,0.019978288701399647,0.1704507425216795,-0.15047245382027988,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
5,decline,fast_slow,11,0,0.0,0.0,0.0,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
5,decline,short_long_eff,00,96,-0.014304571019960785,0.08882779808509231,-0.10313236910505308,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
5,decline,short_long_eff,01,323,-0.08305531976067289,0.2534242102904411,-0.336479530051114,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
5,decline,short_long_eff,10,145,-0.018250299622792253,0.14999493844316117,-0.16824523806595346,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
5,decline,short_long_eff,11,192,0.002095805288484503,0.19160007377746296,-0.1895042684889785,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
5,recovery,fast_slow,00,144,0.0023384408299899455,0.086231981841868,-0.08389354101187806,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
5,recovery,fast_slow,01,279,0.07227010825095286,0.24572960096847682,-0.17345949271752398,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
5,recovery,fast_slow,10,528,0.019188719106543232,0.3198258057591522,-0.300637086652609,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
5,recovery,fast_slow,11,816,0.019995873177197265,0.4861007452789307,-0.46610487210173346,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
5,recovery,short_long_eff,00,520,0.0073281747289242576,0.32350907853463895,-0.3161809038057147,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
5,recovery,short_long_eff,01,384,0.04434045737832622,0.26304674259827787,-0.21870628521995167,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
5,recovery,short_long_eff,10,575,0.06345888840558485,0.38948883407812623,-0.3260299456725414,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
5,recovery,short_long_eff,11,288,-0.0013343791481520433,0.1618434786373847,-0.16317785778553676,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
6,decline,fast_slow,00,240,-0.025899305307434027,0.13057320944366985,-0.15647251475110385,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
6,decline,fast_slow,01,180,-0.05514137580744218,0.10483517677981566,-0.15997655258725785,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
6,decline,fast_slow,10,0,0.0,0.0,0.0,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
6,decline,fast_slow,11,240,-0.028504139595799526,0.15193121877081028,-0.1804353583666098,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
6,decline,short_long_eff,00,48,-8.891420170624139e-05,0.02687003559182541,-0.026958949793531653,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
6,decline,short_long_eff,01,105,-0.08081696165064567,0.06342096181898685,-0.14423792346963255,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
6,decline,short_long_eff,10,96,-0.02216476693508449,0.04733093199163786,-0.06949569892672235,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
6,decline,short_long_eff,11,411,-0.006474177923239323,0.2497176755918456,-0.25619185351508494,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
6,recovery,fast_slow,00,96,0.009321367464456136,0.07642115604408203,-0.0670997885796259,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
6,recovery,fast_slow,01,519,0.05759791497244805,0.45854699581515035,-0.4009490808427023,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
6,recovery,fast_slow,10,144,-0.016723178536432355,0.0895891150562805,-0.10631229359271285,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
6,recovery,fast_slow,11,337,0.06559670462348229,0.2532564774413385,-0.18765977281785617,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
6,recovery,short_long_eff,00,144,-0.015266849515049448,0.08806870026218089,-0.10333554977723032,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
6,recovery,short_long_eff,01,423,-0.028222323538046993,0.3151501651520981,-0.34337248869014503,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
6,recovery,short_long_eff,10,145,0.044908537583284835,0.1326859813157626,-0.08777744373247774,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
6,recovery,short_long_eff,11,384,0.11437344399376573,0.3419088976268098,-0.22753545363304412,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
7,decline,fast_slow,00,762,-0.0724028349470102,0.37772543211730025,-0.4501282670643104,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
7,decline,fast_slow,01,336,0.000630834894201928,0.19171314307753334,-0.1910823081833314,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
7,decline,fast_slow,10,192,0.004055796196620559,0.10450395301275314,-0.10044815681613259,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
7,decline,fast_slow,11,217,-0.040807905583331076,0.11935867813657236,-0.16016658371990344,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
7,decline,short_long_eff,00,553,-0.0870049774755741,0.3082948704453704,-0.3952998479209445,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
7,decline,short_long_eff,01,192,-0.021884608766735987,0.07749820786245001,-0.099382816629186,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
7,decline,short_long_eff,10,618,-0.018957390525132106,0.3246683684205099,-0.34362575894564196,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
7,decline,short_long_eff,11,144,0.019322867327923394,0.08283975961582873,-0.06351689228790533,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
7,recovery,fast_slow,00,432,0.029635390351520886,0.25199148870626287,-0.22235609835474202,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
7,recovery,fast_slow,01,432,0.02854854773682569,0.24742002794257606,-0.21887148020575034,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
7,recovery,fast_slow,10,528,-0.0032833359520265115,0.2787550330961631,-0.28203836904818963,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
7,recovery,fast_slow,11,962,0.054269025245785314,0.5474712477662235,-0.4932022225204381,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
7,recovery,short_long_eff,00,839,-0.032991697618070026,0.43592716567187595,-0.4689188632899459,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
7,recovery,short_long_eff,01,192,-0.007767862396067856,0.09444649850875719,-0.10221436090482505,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
7,recovery,short_long_eff,10,939,0.10181110386571895,0.5858072498940092,-0.4839961460282902,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
7,recovery,short_long_eff,11,384,0.048118083530524304,0.2094568834365832,-0.16133879990605887,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
8,decline,fast_slow,00,96,0.03390161509877842,0.15810329702466147,-0.12420168192588305,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
8,decline,fast_slow,01,0,0.0,0.0,0.0,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
8,decline,fast_slow,10,144,-0.0017477482289888456,0.22667488120637963,-0.2284226294353685,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
8,decline,fast_slow,11,271,-0.12954443705852925,0.2937332470703061,-0.4232776841288354,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
8,decline,short_long_eff,00,179,-0.05427279360632373,0.22590317057397608,-0.28017596418029983,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
8,decline,short_long_eff,01,236,-0.043780689779355314,0.31523590101787113,-0.3590165907972265,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
8,decline,short_long_eff,10,48,-0.025566039703973184,0.0506151223274682,-0.07618116203144137,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
8,decline,short_long_eff,11,48,0.026228952900912574,0.08675723138203181,-0.06052827848111922,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
8,recovery,fast_slow,00,0,0.0,0.0,0.0,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
8,recovery,fast_slow,01,3,0.03745651926801449,0.03745651926801449,0.0,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
8,recovery,fast_slow,10,0,0.0,0.0,0.0,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
8,recovery,fast_slow,11,157,0.07116007128518996,0.23887821531140957,-0.16771814402621962,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
8,recovery,short_long_eff,00,61,0.034287429081091655,0.08438694219557355,-0.050099513114481894,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
8,recovery,short_long_eff,01,0,0.0,0.0,0.0,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
8,recovery,short_long_eff,10,0,0.0,0.0,0.0,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
8,recovery,short_long_eff,11,99,0.07432916147211278,0.1919477923838505,-0.11761863091173771,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
9,decline,fast_slow,00,96,-0.04981041710032643,0.06088376142570855,-0.110694178526035,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
9,decline,fast_slow,01,21,-0.01669253990575831,0.01731290693409644,-0.03400544683985475,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
9,decline,fast_slow,10,110,-0.030269548918822643,0.08129211362151118,-0.11156166254033381,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
9,decline,fast_slow,11,0,0.0,0.0,0.0,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
9,decline,short_long_eff,00,192,-0.0703252686758766,0.13753002485545818,-0.2078552935313348,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
9,decline,short_long_eff,01,0,0.0,0.0,0.0,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
9,decline,short_long_eff,10,35,-0.026447237249030784,0.021958757125857976,-0.04840599437488876,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
9,decline,short_long_eff,11,0,0.0,0.0,0.0,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
9,recovery,fast_slow,00,0,0.0,0.0,0.0,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
9,recovery,fast_slow,01,170,0.029578407237709076,0.1749151982362328,-0.14533679099852376,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
9,recovery,fast_slow,10,466,0.06707396095678007,0.4245832008080582,-0.35750923985127814,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
9,recovery,fast_slow,11,432,0.000804392167249951,0.3642573843405643,-0.36345299217331434,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
9,recovery,short_long_eff,00,458,0.03957974114690458,0.4204279981477328,-0.3808482570008282,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
9,recovery,short_long_eff,01,48,-0.010647527293785285,0.0458239011814555,-0.05647142847524079,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
9,recovery,short_long_eff,10,514,0.0802364398755519,0.4585299268600756,-0.3782934869845237,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
9,recovery,short_long_eff,11,48,-0.011711893366932095,0.038973957195591435,-0.05068585056252353,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
10,decline,fast_slow,00,0,0.0,0.0,0.0,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
10,decline,fast_slow,01,0,0.0,0.0,0.0,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
10,decline,fast_slow,10,192,-0.07427894270848628,0.24397183345021953,-0.3182507761587058,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
10,decline,fast_slow,11,191,-0.022113222707975548,0.33855883514915097,-0.3606720578571265,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
10,decline,short_long_eff,00,0,0.0,0.0,0.0,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
10,decline,short_long_eff,01,334,-0.10981232356513114,0.45808424320567365,-0.5678965667708047,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
10,decline,short_long_eff,10,0,0.0,0.0,0.0,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
10,decline,short_long_eff,11,49,0.013420158148669288,0.12444642539369691,-0.11102626724502762,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
10,recovery,fast_slow,00,0,0.0,0.0,0.0,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
10,recovery,fast_slow,01,0,0.0,0.0,0.0,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
10,recovery,fast_slow,10,0,0.0,0.0,0.0,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
10,recovery,fast_slow,11,257,0.10124182830043713,0.3778037908254952,-0.27656196252505805,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
10,recovery,short_long_eff,00,0,0.0,0.0,0.0,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
10,recovery,short_long_eff,01,96,-0.007232707286936375,0.0928172275727257,-0.10004993485966207,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
10,recovery,short_long_eff,10,0,0.0,0.0,0.0,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
10,recovery,short_long_eff,11,161,0.10847453558737352,0.2849865632527695,-0.17651202766539598,"EOD full-day retrospective label applied to each marked interval, including partial event endpoint days"
